subject, block_type, block, thought probe, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, count_to_prob, ntrial_to_prob, ITI_duration,RT_deadline,choice_feedback_duration,outcome_duration
5,practice,1, no_probe,1,4,2,4,2,0.7,0.4, left,1,0.3,0.4,0.6,0.7,0.5882847,0, , ,0,0,1,2,1,6,0.5,1
5,practice,1, probe,2,2,1,1,2,0.4,0.3, right,2,0.3,0.4,0.6,0.7,0.5665951,1,50,4.3165138,1,1,2,2,1,6,0.5,1
5,practice,1, no_probe,3,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,3.1099485,1, , ,2,2,1,3,1,6,0.5,1
5,practice,1, no_probe,4,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,0.8362894,1, , ,3,3,2,3,1,6,0.5,1
5,practice,1, probe,5,3,1,3,1,0.6,0.3, left,1,0.3,0.4,0.6,0.7,1.5566727,1,95.88375854,7.6331992,4,4,3,3,1,6,0.5,1
5,practice,1, no_probe,6,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,1.0561717,0, , ,4,4,1,3,1,6,0.5,1
5, test,1, no_probe,1,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,0.5504569,0, , ,0,4,1,2,1,6,0.5,1
5, test,1, probe,2,3,4,4,3,0.6,0.7, right,2,0.3,0.4,0.6,0.7,0.4256126,1,97.23483276,4.6499367,1,5,2,2,1,6,0.5,1
5, test,1, no_probe,3,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,1.007083,1, , ,2,6,1,2,1,6,0.5,1
5, test,1, probe,4,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.449669,0,83.18527222,6.0665868,2,6,2,2,1,6,0.5,1
5, test,1, no_probe,5,4,2,4,2,0.7,0.4, left,1,0.3,0.4,0.6,0.7,0.5759648,1, , ,3,7,1,2,1,6,0.5,1
5, test,1, probe,6,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,0.9511862,1,89.7897644,4.8832893,4,8,2,2,1,6,0.5,1
5, test,1, no_probe,7,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.7748908,0, , ,4,8,1,2,1,6,0.5,1
5, test,1, probe,8,2,4,2,4,0.4,0.7, left,1,0.3,0.4,0.6,0.7,0.396957,0,45.13327026,6.0332428,4,8,2,2,1,6,0.5,1
5, test,1, no_probe,9,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,0.8281524,0, , ,4,8,1,3,1,6,0.5,1
5, test,1, no_probe,10,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.4307713,1, , ,5,9,2,3,1,6,0.5,1
5, test,1, probe,11,1,4,1,4,0.3,0.7, left,1,0.3,0.4,0.6,0.7,1.0757337,1,74.38742065,1.7832881,6,10,3,3,1,6,0.5,1
5, test,1, no_probe,12,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,0.6898256,0, , ,6,10,1,3,1,6,0.5,1
5, test,1, no_probe,13,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,0.5124804,1, , ,7,11,2,3,1,6,0.5,1
5, test,1, probe,14,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,0.4404461,1,49.99829102,0.933317,8,12,3,3,1,6,0.5,1
5, test,1, no_probe,15,4,3,4,3,0.7,0.6, left,1,0.3,0.4,0.6,0.7,1.893021,1, , ,9,13,1,3,1,6,0.5,1
5, test,1, no_probe,16,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,0.4041611,1, , ,10,14,2,3,1,6,0.5,1
5, test,1, probe,17,3,2,3,2,0.6,0.4, left,1,0.3,0.4,0.6,0.7,0.438117,1,83.15612793,3.0499767,11,15,3,3,1,6,0.5,1
5, test,1, no_probe,18,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,0.813224,1, , ,12,16,1,3,1,6,0.5,1
