subject, block_type, block, thought probe, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, count_to_prob, ntrial_to_prob, ITI_duration,RT_deadline,choice_feedback_duration,outcome_duration
66,practice,1, abort_trial,1,,,,,,,,,,,,,,,,,,,,,,,,
66,practice,1, no_probe,2,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,0.5591984,1, , ,1,1,1,2,1,6,0.5,1
66,practice,1, probe,3,1,4,1,4,0.3,0.7, left,1,0.3,0.4,0.6,0.7,1.1818878,0,99.99841309,3.0666404,1,1,2,2,1,6,0.5,1
66,practice,1, no_probe,4,2,1,2,1,0.4,0.3, left,1,0.3,0.4,0.6,0.7,0.9717132,0, , ,1,1,1,2,1,6,0.5,1
66,practice,1, probe,5,4,2,4,2,0.7,0.4, left,1,0.3,0.4,0.6,0.7,1.503146,1,99.99954224,1.8332827,2,2,2,2,1,6,0.5,1
66,practice,1, no_probe,6,4,1,4,1,0.7,0.3, left,1,0.3,0.4,0.6,0.7,1.1179009,0, , ,2,2,1,3,1,6,0.5,1
66, test,1, no_probe,1,3,4,4,3,0.6,0.7, right,2,0.3,0.4,0.6,0.7,0.6293784,0, , ,0,2,1,3,1,6,0.5,1
66, test,1, no_probe,2,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,1.453562,1, , ,1,3,2,3,1,6,0.5,1
66, test,1, probe,3,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,1.1199049,0,74.70715332,2.2163738,1,3,3,3,1,6,0.5,1
66, test,1, no_probe,4,2,4,4,2,0.4,0.7, right,2,0.3,0.4,0.6,0.7,0.7265215,0, , ,1,3,1,2,1,6,0.5,1
66, test,1, probe,5,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,1.1711539,1,81.23971558,1.7499905,2,4,2,2,1,6,0.5,1
66, test,1, no_probe,6,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,1.7351367,1, , ,3,5,1,2,1,6,0.5,1
66, test,1, probe,7,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,1.0543776,1,80.45916748,1.5666534,4,6,2,2,1,6,0.5,1
66, test,1, no_probe,8,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,1.9739789,1, , ,5,7,1,2,1,6,0.5,1
66, test,1, probe,9,2,1,2,1,0.4,0.3, left,1,0.3,0.4,0.6,0.7,0.6694897,0,31.32843018,1.6666872,5,7,2,2,1,6,0.5,1
66, test,1, no_probe,10,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,1.0631904,1, , ,6,8,1,3,1,6,0.5,1
66, test,1, no_probe,11,2,4,4,2,0.4,0.7, right,2,0.3,0.4,0.6,0.7,1.0708558,0, , ,6,8,2,3,1,6,0.5,1
66, test,1, probe,12,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,0.8440197,1,88.84283447,1.9999826,7,9,3,3,1,6,0.5,1
66, test,1, no_probe,13,4,2,2,4,0.7,0.4, right,2,0.3,0.4,0.6,0.7,1.2358838,1, , ,8,10,1,2,1,6,0.5,1
66, test,1, probe,14,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,1.2871665,1,87.42630005,2.3666703,9,11,2,2,1,6,0.5,1
66, test,1, no_probe,15,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,1.2176446,0, , ,9,11,1,2,1,6,0.5,1
66, test,1, probe,16,2,1,1,2,0.4,0.3, right,2,0.3,0.4,0.6,0.7,0.561295,0,8.987091064,1.3333227,9,11,2,2,1,6,0.5,1
66, test,1, no_probe,17,2,3,3,2,0.4,0.6, right,2,0.3,0.4,0.6,0.7,1.4112095,1, , ,10,12,1,3,1,6,0.5,1
66, test,1, no_probe,18,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,1.3714604,0, , ,10,12,2,3,1,6,0.5,1
66, test,1, probe,19,3,2,3,2,0.6,0.4, left,1,0.3,0.4,0.6,0.7,0.8675097,0,17.98641968,1.6166138,10,12,3,3,1,6,0.5,1
66, test,1, no_probe,20,2,1,2,1,0.4,0.3, left,1,0.3,0.4,0.6,0.7,0.6842061,0, , ,10,12,1,3,1,6,0.5,1
