subject, block_type, block, thought probe, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, count_to_prob, ntrial_to_prob, ITI_duration,RT_deadline,choice_feedback_duration,outcome_duration
6,practice,1, no_probe,1,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,1.4896678,1, , ,1,1,1,2,1,6,0.5,1
6,practice,1, probe,2,3,2,2,3,0.6,0.4, right,2,0.3,0.4,0.6,0.7,4.2628148,1,99.99545288,6.5499229,2,2,2,2,1,6,0.5,1
6,practice,1, no_probe,3,1,2,2,1,0.3,0.4, right,2,0.3,0.4,0.6,0.7,3.3282644,0, , ,2,2,1,3,1,6,0.5,1
6,practice,1, no_probe,4,4,1,4,1,0.7,0.3, left,1,0.3,0.4,0.6,0.7,0.9131405,1, , ,3,3,2,3,1,6,0.5,1
6,practice,1, probe,5,1,2,1,2,0.3,0.4, left,1,0.3,0.4,0.6,0.7,5.5897757,0,72.59814453,4.7832256,3,3,3,3,1,6,0.5,1
6,practice,1, abort_trial,6,,,,,,,,,,,,,,,,,,,,,,,,
6, test,1, no_probe,1,2,1,1,2,0.4,0.3, right,2,0.3,0.4,0.6,0.7,2.0475449,0, , ,0,3,1,3,1,6,0.5,1
6, test,1, no_probe,2,4,2,4,2,0.7,0.4, left,1,0.3,0.4,0.6,0.7,0.838973,0, , ,0,3,2,3,1,6,0.5,1
6, test,1, probe,3,3,1,1,3,0.6,0.3, right,2,0.3,0.4,0.6,0.7,1.0380164,1,90.43951416,3.8662193,1,4,3,3,1,6,0.5,1
6, test,1, no_probe,4,1,3,3,1,0.3,0.6, right,2,0.3,0.4,0.6,0.7,3.0546253,0, , ,1,4,1,2,1,6,0.5,1
6, test,1, probe,5,2,1,2,1,0.4,0.3, left,1,0.3,0.4,0.6,0.7,1.789354,1,91.02874756,3.4666315,2,5,2,2,1,6,0.5,1
6, test,1, no_probe,6,3,2,3,2,0.6,0.4, left,1,0.3,0.4,0.6,0.7,1.97161,0, , ,2,5,1,3,1,6,0.5,1
6, test,1, no_probe,7,1,3,1,3,0.3,0.6, left,1,0.3,0.4,0.6,0.7,1.3974145,1, , ,3,6,2,3,1,6,0.5,1
6, test,1, probe,8,1,4,4,1,0.3,0.7, right,2,0.3,0.4,0.6,0.7,2.5031203,0,62.97531128,2.6832935,3,6,3,3,1,6,0.5,1
6, test,1, no_probe,9,4,1,4,1,0.7,0.3, left,1,0.3,0.4,0.6,0.7,1.6891168,1, , ,4,7,1,2,1,6,0.5,1
6, test,1, probe,10,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,0.7496608,0,71.9644165,2.8999331,4,7,2,2,1,6,0.5,1
6, test,1, no_probe,11,2,4,4,2,0.4,0.7, right,2,0.3,0.4,0.6,0.7,2.1966231,1, , ,5,8,1,2,1,6,0.5,1
6, test,1, probe,12,3,4,3,4,0.6,0.7, left,1,0.3,0.4,0.6,0.7,2.1574628,0,76.79489136,3.1832932,5,8,2,2,1,6,0.5,1
6, test,1, no_probe,13,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,1.5280079,1, , ,6,9,1,2,1,6,0.5,1
6, test,1, probe,14,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,1.4287762,0,82.52166748,3.5166135,6,9,2,2,1,6,0.5,1
6, test,1, no_probe,15,2,3,2,3,0.4,0.6, left,1,0.3,0.4,0.6,0.7,2.2467413,1, , ,7,10,1,3,1,6,0.5,1
6, test,1, no_probe,16,4,1,1,4,0.7,0.3, right,2,0.3,0.4,0.6,0.7,1.9178471,1, , ,8,11,2,3,1,6,0.5,1
6, test,1, probe,17,4,3,3,4,0.7,0.6, right,2,0.3,0.4,0.6,0.7,3.5421337,1,89.0368042,2.2499685,9,12,3,3,1,6,0.5,1
