subject, block_type, block, thought probe, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, vas, RT_vas, coins_per_block, coins_per_task, count_to_prob, ntrial_to_prob, ITI_duration,RT_deadline,choice_feedback_duration,outcome_duration
19, test, 1, no_probe, 1, 4, 2, 4, 2, 0.7, 0.4, left, 1, 0.3, 0.4, 0.6, 0.7, 0.8982804999686778, 0, , , 0.000000, 0.000000, 1.000000,2.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, probe, 2, 2, 1, 1, 2, 0.4, 0.3, right, 2, 0.3, 0.4, 0.6, 0.7, 0.5702878000447527, 0, 99.99871826171875, 4.84991800005082, 0.000000, 0.000000, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 3, 4, 3, 4, 3, 0.7, 0.6, left, 1, 0.3, 0.4, 0.6, 0.7, 1.013664499972947, 1, , , 1.000000, 1.000000, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 4, 3, 2, 3, 2, 0.6, 0.4, left, 1, 0.3, 0.4, 0.6, 0.7, 0.8442781999474391, 1, , , 2.000000, 2.000000, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, probe, 5, 4, 1, 4, 1, 0.7, 0.3, left, 1, 0.3, 0.4, 0.6, 0.7, 0.8690368999959901, 1, 99.99838256835938, 4.483283699955791, 3.000000, 3.000000, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 6, 4, 1, 1, 4, 0.7, 0.3, right, 2, 0.3, 0.4, 0.6, 0.7, 0.7145793000236154, 1, , , 4.000000, 4.000000, 1.000000,2.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 1, 1, 4, 1, 4, 0.3, 0.7, left, 1, 0.3, 0.4, 0.6, 0.7, 0.45006329996977, 0, , , 0.000000, 4.000000, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 2, 3, 2, 2, 3, 0.6, 0.4, right, 2, 0.3, 0.4, 0.6, 0.7, 0.5175313000800088, 1, , , 1.000000, 5.000000, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, probe, 3, 4, 3, 3, 4, 0.7, 0.6, right, 2, 0.3, 0.4, 0.6, 0.7, 0.37405059998854995, 1, 99.99920654296875, 3.749604000011459, 2.000000, 6.000000, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 4, 3, 1, 1, 3, 0.6, 0.3, right, 2, 0.3, 0.4, 0.6, 0.7, 0.7456217999570072, 0, , , 2.000000, 6.000000, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 5, 4, 1, 4, 1, 0.7, 0.3, left, 1, 0.3, 0.4, 0.6, 0.7, 0.3415696999290958, 1, , , 3.000000, 7.000000, 2.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, probe, 6, 4, 2, 2, 4, 0.7, 0.4, right, 2, 0.3, 0.4, 0.6, 0.7, 0.33309129998087883, 1, 99.99935913085938, 2.500002699904144, 4.000000, 8.000000, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 7, 4, 1, 4, 1, 0.7, 0.3, left, 1, 0.3, 0.4, 0.6, 0.7, 0.46078289998695254, 1, , , 5.000000, 9.000000, 1.000000,2.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, probe, 8, 4, 1, 4, 1, 0.7, 0.3, left, 1, 0.3, 0.4, 0.6, 0.7, 0.32379799999762326, 0, 99.99884033203125, 3.433249399997294, 5.000000, 9.000000, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
19, test, 1, no_probe, 9, 3, 2, 2, 3, 0.6, 0.4, right, 2, 0.3, 0.4, 0.6, 0.7, 0.42511960002593696, 1, , , 6.000000, 10.000000, 1.000000,2.000000,1.000000,6.000000,0.500000,1.000000
