subject, block_type, block, thought probe, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_flower, unchosen_flower, chosen_flower_image, unchosen_flower_image, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins
0, test, 1, not presented, 1, 4, 3, 23.png, 24.png, 0.65, 0.35, 0.35, left, 1, 3, 4, 24.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.48784239997621626,0, 0,
0, test, 1, not presented, 2, 4, 3, 22.png, 21.png, 0.35, 0.65, 0.35, right, 2, 4, 3, 22.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.3807903000852093,0, 0,
0, test, 1, presented, 3, 4, 3, 24.png, 23.png, 0.65, 0.35, 0.65, right, 2, 4, 3, 24.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.3228450999595225,1, 1,
68,
0, test, 1, not presented, 4, 4, 3, 23.png, 24.png, 0.65, 0.35, 0.35, left, 1, 3, 4, 24.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.6020439999410883,1, 2,
0, test, 1, presented, 5, 4, 3, 22.png, 23.png, 0.35, 0.35, 0.35, right, 2, 4, 3, 22.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.412228399887681,0, 2,
68,
0, test, 1, not presented, 6, 4, 3, 24.png, 23.png, 0.65, 0.35, 0.35, left, 1, 3, 4, 23.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.48544269998092204,0, 2,
0, test, 1, not presented, 7, 4, 3, 21.png, 22.png, 0.35, 0.65, 0.35, right, 2, 4, 3, 21.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.5516189999179915,0, 2,
0, test, 1, presented, 8, 4, 3, 22.png, 23.png, 0.35, 0.35, 0.35, left, 1, 3, 4, 23.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.21638749993871897,1, 3,
70,
0, test, 1, not presented, 9, 4, 3, 24.png, 23.png, 0.65, 0.35, 0.35, left, 1, 3, 4, 23.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.39237530005630106,1, 4,
0, test, 1, presented, 10, 4, 3, 24.png, 22.png, 0.65, 0.35, 0.65, right, 2, 4, 3, 24.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.45099719997961074,0, 4,
66,
0, test, 1, not presented, 11, 4, 3, 24.png, 21.png, 0.65, 0.65, 0.65, left, 1, 3, 4, 21.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.41799210000317544,0, 4,
0, test, 1, not presented, 12, 4, 3, 24.png, 21.png, 0.65, 0.65, 0.65, right, 2, 4, 3, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.24497670005075634,0, 4,
0, test, 1, presented, 13, 4, 3, 24.png, 21.png, 0.65, 0.65, 0.65, left, 1, 3, 4, 21.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.20810370007529855,1, 5,
65,
0, test, 1, not presented, 14, 4, 3, 21.png, 24.png, 0.65, 0.65, 0.65, right, 2, 4, 3, 21.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.35191059997305274,1, 6,
0, test, 1, presented, 15, 4, 3, 23.png, 22.png, 0.35, 0.35, 0.35, left, 1, 3, 4, 22.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.40343049995135516,0, 6,
30,
0, test, 1, not presented, 16, 4, 3, 21.png, 23.png, 0.35, 0.65, 0.35, right, 2, 4, 3, 21.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.5110493999673054,0, 6,
0, test, 1, not presented, 17, 4, 3, 21.png, 23.png, 0.35, 0.65, 0.65, left, 1, 3, 4, 23.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.30862259992863983,1, 7,
0, test, 1, presented, 18, 4, 3, 23.png, 24.png, 0.65, 0.35, 0.65, right, 2, 4, 3, 23.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.13280209992080927,0, 7,
67,
0, test, 1, not presented, 19, 4, 3, 24.png, 21.png, 0.65, 0.65, 0.65, right, 2, 4, 3, 24.png, 21.png, 0.65, 0.35, 0.35, 0.65, 0.3150781000731513,1, 8,
0, test, 1, presented, 20, 4, 3, 23.png, 22.png, 0.35, 0.35, 0.35, left, 1, 3, 4, 22.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.23987879999913275,0, 8,
28,
0, test, 1, not presented, 21, 4, 3, 22.png, 24.png, 0.65, 0.35, 0.65, right, 2, 4, 3, 22.png, 24.png, 0.65, 0.35, 0.35, 0.65, 1.1969784999964759,1, 9,
0, test, 1, not presented, 22, 4, 3, 24.png, 21.png, 0.65, 0.65, 0.65, left, 1, 3, 4, 21.png, 24.png, 0.65, 0.35, 0.35, 0.65, 0.595469200052321,0, 9,
0, test, 1, presented, 23, 4, 3, 21.png, 23.png, 0.35, 0.65, 0.35, right, 2, 4, 3, 21.png, 23.png, 0.65, 0.35, 0.35, 0.65, 0.23170529992785305,0, 9,
29,
0, test, 1, not presented, 24, 4, 3, 23.png, 22.png, 0.35, 0.35, 0.35, right, 2, 4, 3, 23.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.37188140000216663,0, 9,
0, test, 1, presented, 25, 4, 3, 22.png, 21.png, 0.35, 0.65, 0.65, left, 1, 3, 4, 21.png, 22.png, 0.65, 0.35, 0.35, 0.65, 0.21297949994914234,1, 10,
64,
